                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.229,                 3.0518,                 3.6362,                0.12697,                  0.375,                0.11632,                0.04001,                 2.2596,                 16.413,                 2.9597,             0.00066245,             0.00066245,             0.00066245
                      2,                 2.3489,                 2.4327,                 2.8101,                0.39807,                0.47283,                0.39348,                0.16653,                 1.9258,                 11.143,                 2.4881,               0.001316,               0.001316,               0.001316
                      3,                 2.0411,                 1.9827,                 2.4464,                0.46644,                0.55112,                0.49517,                0.22682,                   1.81,                 4.4567,                 2.2812,              0.0019563,              0.0019563,              0.0019563
                      4,                 1.8353,                 1.7463,                  2.217,                0.61696,                0.66848,                0.63222,                0.31696,                 1.7584,                 1.8749,                 2.1377,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7257,                 1.6025,                 2.0903,                0.71425,                0.66304,                0.70648,                0.37687,                 1.6429,                 1.3952,                 1.9627,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6615,                 1.5205,                 2.0164,                0.63597,                 0.7406,                0.70479,                0.37107,                 1.6214,                 1.7284,                 1.9651,               0.001901,               0.001901,               0.001901
                      7,                 1.6185,                 1.4244,                 1.9618,                0.70509,                0.71196,                0.72849,                0.39152,                 1.5638,                 1.8316,                  1.891,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5626,                 1.3792,                 1.9049,                0.60168,                0.78811,                0.72923,                0.38839,                 1.5695,                 1.3712,                 1.8141,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5659,                 1.3441,                  1.894,                0.77149,                0.77067,                0.81699,                0.48369,                 1.3979,                 1.3218,                 1.7164,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5024,                 1.2672,                 1.8378,                0.72699,                0.72826,                0.73529,                0.42919,                 1.3904,                 1.2268,                 1.6868,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4824,                 1.2341,                 1.8041,                0.72671,                0.78804,                 0.7992,                0.47707,                 1.4004,                 1.0604,                 1.6471,               0.001802,               0.001802,               0.001802
                     12,                 1.4604,                 1.1843,                 1.7928,                0.74309,                0.77174,                0.79136,                0.43768,                 1.5431,                 1.1488,                 1.8093,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4503,                 1.1495,                 1.7639,                0.75213,                0.77508,                0.81026,                0.47441,                 1.4096,                 1.0215,                 1.6712,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4075,                 1.1267,                 1.7242,                0.73597,                0.83323,                0.80189,                0.49419,                 1.2938,                 1.0142,                 1.5781,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3922,                 1.1135,                 1.7203,                0.70712,                0.85326,                0.80408,                0.48899,                 1.4094,                 1.1049,                 1.6314,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3912,                 1.0746,                 1.6969,                0.70699,                 0.8913,                0.86011,                0.51394,                 1.4436,                0.91133,                 1.6309,               0.001703,               0.001703,               0.001703
                     17,                  1.362,                 1.0351,                 1.6824,                0.75918,                0.81522,                0.82275,                0.51481,                  1.307,                0.94761,                 1.5579,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3496,                 1.0317,                 1.6688,                0.81087,                0.77717,                0.85414,                0.53031,                 1.3535,                0.98401,                 1.5776,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3299,                 1.0227,                 1.6539,                0.69216,                0.88587,                0.80812,                0.47409,                  1.461,                0.96158,                 1.6295,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3264,                 0.9881,                 1.6274,                0.76812,                0.86413,                0.86169,                0.52638,                 1.3245,                0.90704,                 1.5622,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3098,                0.97814,                 1.6231,                0.76033,                 0.8587,                0.83479,                0.50233,                 1.3464,                0.93272,                 1.5603,               0.001604,               0.001604,               0.001604
                     22,                 1.3096,                 0.9758,                 1.6381,                 0.7417,                0.84269,                0.85334,                0.54227,                 1.2443,                0.88611,                  1.526,              0.0015842,              0.0015842,              0.0015842
